article_no,discipline,subdiscipline,journal_title,journal_url,volume,issue,month,year,issue_url,type,title,article_url
0,Medicine & Public Health,Cardiology,CardioVascular and Interventional Radiology,http://link.springer.com/journal/270,42,12,December,2019,https://link.springer.com/journal/270/42/12,Laboratory Investigation,"Preclinical Evaluation of the Accero Stent: Flow Remodelling Effect on Aneurysm, Vessel Reaction and Side Branch Patency",https://link.springer.com/article/10.1007/s00270-019-02345-z
1,Medicine & Public Health,Cardiology,CardioVascular and Interventional Radiology,http://link.springer.com/journal/270,42,12,December,2019,https://link.springer.com/journal/270/42/12,Clinical Investigation,Preventive Vertebroplasty for Long-Term Consolidation of Vertebral Metastases,https://link.springer.com/article/10.1007/s00270-019-02314-6
2,Medicine & Public Health,Cardiology,CardioVascular and Interventional Radiology,http://link.springer.com/journal/270,42,12,December,2019,https://link.springer.com/journal/270/42/12,Clinical Investigation,Preloaded Catheters and Guide-Wire Systems to Facilitate Catheterization During Fenestrated and Branched Endovascular Aortic Repair,https://link.springer.com/article/10.1007/s00270-019-02322-6
3,Medicine & Public Health,Cardiology,CardioVascular and Interventional Radiology,http://link.springer.com/journal/270,42,12,December,2019,https://link.springer.com/journal/270/42/12,Clinical Investigation,Monitoring Liver Function of Patients Undergoing Transarterial Chemoembolization (TACE) by a 13C Breath Test (LiMAx),https://link.springer.com/article/10.1007/s00270-019-02325-3
4,Medicine & Public Health,Cardiology,CardioVascular and Interventional Radiology,http://link.springer.com/journal/270,42,11,November,2019,https://link.springer.com/journal/270/42/11,Clinical Investigation,Assessing the Need for Preprocedural Laboratory Tests and Stopping Non-steroidal Anti-inflammatory Drugs/Aspirin in Patients Undergoing Percutaneous Bone and Soft Tissue Biopsies,https://link.springer.com/article/10.1007/s00270-019-02274-x
5,Medicine & Public Health,Cardiology,CardioVascular and Interventional Radiology,http://link.springer.com/journal/270,42,11,November,2019,https://link.springer.com/journal/270/42/11,Clinical Investigation,The Randomized Freeway Stent Study: Drug-Eluting Balloons Outperform Standard Balloon Angioplasty for Postdilatation of Nitinol Stents in the SFA and PI Segment,https://link.springer.com/article/10.1007/s00270-019-02309-3
6,Medicine & Public Health,Cardiology,CardioVascular and Interventional Radiology,http://link.springer.com/journal/270,42,11,November,2019,https://link.springer.com/journal/270/42/11,Clinical Investigation,Radiation Exposure During Transarterial Chemoembolization: Angio-CT Versus Cone-Beam CT,https://link.springer.com/article/10.1007/s00270-019-02269-8
7,Medicine & Public Health,Cardiology,CardioVascular and Interventional Radiology,http://link.springer.com/journal/270,42,11,November,2019,https://link.springer.com/journal/270/42/11,Clinical Investigation,Metal Artifact Reduction for Orthopedic Prosthesis in Lower Extremity CT Venography: Evaluation of Image Quality and Vessel Conspicuity,https://link.springer.com/article/10.1007/s00270-019-02326-2
8,Medicine & Public Health,Cardiology,CardioVascular and Interventional Radiology,http://link.springer.com/journal/270,42,10,October,2019,https://link.springer.com/journal/270/42/10,Clinical Investigation,Comparison of Sedoanalgesia Versus Ultrasound-Guided Supraclavicular Brachial Plexus Block for the Prevention of the Pain During Endovascular Treatment of Dysfunctional Hemodialysis Fistulas,https://link.springer.com/article/10.1007/s00270-019-02293-8
9,Medicine & Public Health,Cardiology,CardioVascular and Interventional Radiology,http://link.springer.com/journal/270,42,10,October,2019,https://link.springer.com/journal/270/42/10,Clinical Investigation,Safety and Prognosis of Transarterial Chemoembolization for Octogenarians with Hepatocellular Carcinoma,https://link.springer.com/article/10.1007/s00270-019-02290-x
