article_no,discipline,subdiscipline,journal_title,journal_url,volume,issue,month,year,issue_url,type,title,article_url
1892,Biomedicine,Neurology,Neurotherapeutics,http://link.springer.com/journal/13311,16,2,April,2019,https://link.springer.com/journal/13311/16/2,Original Article,TET1 Overexpression Mitigates Neuropathic Pain Through Rescuing the Expression of μ-Opioid Receptor and Kv1.2 in the Primary Sensory Neurons,https://link.springer.com/article/10.1007/s13311-018-00689-x
586,Medicine & Public Health,Cardiology,Clinical Autonomic Research,http://link.springer.com/journal/10286,29,2,April,2019,https://link.springer.com/journal/10286/29/2,Review Article,The renin–angiotensin system in cardiovascular autonomic control: recent developments and clinical implications,https://link.springer.com/article/10.1007/s10286-018-0572-5
1603,Biomedicine,Immunology,Inflammation and Regeneration,http://link.springer.com/journal/41232,38,1,December,2018,https://link.springer.com/journal/41232/38/1,Review,"New application of anti-TLR monoclonal antibodies: detection, inhibition and protection",https://link.springer.com/article/10.1186/s41232-018-0068-7
3341,Biomedicine,Pharmacology-Toxicology,Cardiovascular Toxicology,http://link.springer.com/journal/12012,18,3,June,2018,https://link.springer.com/journal/12012/18/3,Original Paper,Alleviation of Cardiac Damage by Dietary Fenugreek (Trigonella foenum-graecum) Seeds is Potentiated by Onion (Allium cepa) in Experimental Diabetic Rats via Blocking Renin–Angiotensin System,https://link.springer.com/article/10.1007/s12012-017-9431-1
2561,Biomedicine,Neurology,Metabolic Brain Disease,http://link.springer.com/journal/11011,31,6,December,2016,https://link.springer.com/journal/11011/31/6,Original Article,"Agomelatine reduces brain, kidney and liver oxidative stress but increases plasma cytokine production in the rats with chronic mild stress-induced depression",https://link.springer.com/article/10.1007/s11011-016-9874-2
231,Medicine & Public Health,Cardiology,Journal of Thrombosis and Thrombolysis,http://link.springer.com/journal/11239,46,2,August,2018,https://link.springer.com/journal/11239/46/2,Original Paper,Safety analysis of apixaban versus warfarin in patients with advanced kidney disease,https://link.springer.com/article/10.1007/s11239-018-1683-5
1203,Biomedicine,Immunology,Immunologic Research,http://link.springer.com/journal/12026,65,6,December,2017,https://link.springer.com/journal/12026/65/6,Review,The complement system as a biomarker of disease activity and response to treatment in multiple sclerosis,https://link.springer.com/article/10.1007/s12026-017-8961-8
614,Medicine & Public Health,Cardiology,Clinical Autonomic Research,http://link.springer.com/journal/10286,27,6,December,2017,https://link.springer.com/journal/10286/27/6,Research Article,Pupillary autonomic dysfunction in patients with ANCA-associated vasculitis,https://link.springer.com/article/10.1007/s10286-017-0463-1
737,Biomedicine,Immunology,Journal of Clinical Immunology,http://link.springer.com/journal/10875,39,2,February,2019,https://link.springer.com/journal/10875/39/2,Original Article,Neurological Involvement in Childhood Evans Syndrome,https://link.springer.com/article/10.1007/s10875-019-0594-3
2,Medicine & Public Health,Cardiology,CardioVascular and Interventional Radiology,http://link.springer.com/journal/270,42,12,December,2019,https://link.springer.com/journal/270/42/12,Clinical Investigation,Preloaded Catheters and Guide-Wire Systems to Facilitate Catheterization During Fenestrated and Branched Endovascular Aortic Repair,https://link.springer.com/article/10.1007/s00270-019-02322-6
2339,Biomedicine,Neurology,Acta Neuropathologica Communications,http://link.springer.com/journal/40478,3,1,December,2015,https://link.springer.com/journal/40478/3/1,Research,Intracellular amyloid β oligomers impair organelle transport and induce dendritic spine loss in primary neurons,https://link.springer.com/article/10.1186/s40478-015-0230-2
903,Biomedicine,Immunology,Autoimmunity Highlights,http://link.springer.com/journal/13317,4,2,August,2013,https://link.springer.com/journal/13317/4/2,Review Article,"Autoantibodies in liver disease: important clues for the diagnosis, disease activity and prognosis",https://link.springer.com/article/10.1007/s13317-013-0046-7
1544,Biomedicine,Immunology,Immunity & Ageing,http://link.springer.com/journal/12979,14,1,December,2017,https://link.springer.com/journal/12979/14/1,Research,"Expression of cellular protective proteins SIRT1, HSP70 and SOD2 correlates with age and is significantly higher in NK cells of the oldest seniors",https://link.springer.com/article/10.1186/s12979-017-0085-4
15,Medicine & Public Health,Cardiology,CardioVascular and Interventional Radiology,http://link.springer.com/journal/270,42,9,September,2019,https://link.springer.com/journal/270/42/9,Review,Cancer Immunotherapy: A Simple Guide for Interventional Radiologists of New Therapeutic Approaches,https://link.springer.com/article/10.1007/s00270-018-2074-1
2103,Biomedicine,Neurology,Translational Stroke Research,http://link.springer.com/journal/12975,7,5,October,2016,https://link.springer.com/journal/12975/7/5,Original Article,Association between Leukoaraiosis and Poor Outcome is not due to Reperfusion Inefficiency after Intravenous Thrombolysis,https://link.springer.com/article/10.1007/s12975-016-0473-7
2671,Medicine & Public Health,Oncology,"Cancer Immunology, Immunotherapy",http://link.springer.com/journal/262,68,9,September,2019,https://link.springer.com/journal/262/68/9,Original Article,Morphomolecular analysis of the immune tumor microenvironment in human head and neck cancer,https://link.springer.com/article/10.1007/s00262-019-02378-w
885,Biomedicine,Immunology,Autoimmunity Highlights,http://link.springer.com/journal/13317,6,1-2,August,2015,https://link.springer.com/journal/13317/6/1,Original Article,Anti-zinc transporter protein 8 autoantibodies significantly improve the diagnostic approach to type 1 diabetes: an Italian multicentre study on paediatric patients,https://link.springer.com/article/10.1007/s13317-015-0068-4
3508,Biomedicine,Pharmacology-Toxicology,In Silico Pharmacology,http://link.springer.com/journal/40203,3,1,December,2015,https://link.springer.com/journal/40203/3/1,Original Research,A molecular docking study of phytochemical estrogen mimics from dietary herbal supplements,https://link.springer.com/article/10.1186/s40203-015-0008-z
1733,Biomedicine,Neurology,The Cerebellum,http://link.springer.com/journal/12311,17,1,February,2018,https://link.springer.com/journal/12311/17/1,Review,The Ferdinando Rossi Memorial Lecture: Zones and Stripes—Pattern Formation in the Cerebellum,https://link.springer.com/article/10.1007/s12311-017-0887-0
36,Medicine & Public Health,Cardiology,CardioVascular and Interventional Radiology,http://link.springer.com/journal/270,42,3,March,2019,https://link.springer.com/journal/270/42/3,Clinical Investigation,Effects of Varicocele Treatment on Sperm Conventional Parameters: Surgical Varicocelectomy Versus Sclerotherapy,https://link.springer.com/article/10.1007/s00270-018-2136-4
1381,Biomedicine,Immunology,Parasitology Research,http://link.springer.com/journal/436,118,1,January,2019,https://link.springer.com/journal/436/118/1,Original Paper,Filling gaps in the microsporidian tree: rDNA phylogeny of Chytridiopsis typographi (Microsporidia: Chytridiopsida),https://link.springer.com/article/10.1007/s00436-018-6130-1
1963,Biomedicine,Neurology,Neurotherapeutics,http://link.springer.com/journal/13311,11,4,October,2014,https://link.springer.com/journal/13311/11/4,Review,Gene Therapy for the Nervous System: Challenges and New Strategies,https://link.springer.com/article/10.1007/s13311-014-0299-5
1292,Biomedicine,Immunology,Pathology & Oncology Research,http://link.springer.com/journal/12253,22,3,July,2016,https://link.springer.com/journal/12253/22/3,Original Article,Detection and Analysis of Wnt Pathway Related lncRNAs Expression Profile in Lung Adenocarcinoma,https://link.springer.com/article/10.1007/s12253-016-0046-9
2648,Medicine & Public Health,Oncology,Comparative Clinical Pathology,http://link.springer.com/journal/580,26,2,March,2017,https://link.springer.com/journal/580/26/2,Original Article,Stability of some clinical biochemistry parameters in equine serum/plasma stored at refrigerator and room temperatures: a preliminary study,https://link.springer.com/article/10.1007/s00580-017-2399-1
153,Medicine & Public Health,Cardiology,Journal of Echocardiography,http://link.springer.com/journal/12574,16,2,June,2018,https://link.springer.com/journal/12574/16/2,Review Article,Evaluation of left ventricular diastolic function: state of the art after 35 years with Doppler assessment,https://link.springer.com/article/10.1007/s12574-017-0364-2
174,Medicine & Public Health,Cardiology,Journal of Echocardiography,http://link.springer.com/journal/12574,13,2,June,2015,https://link.springer.com/journal/12574/13/2,Review Article,Echocardiographic evaluation methods for right ventricular function,https://link.springer.com/article/10.1007/s12574-015-0243-7
2209,Biomedicine,Neurology,Molecular Neurobiology,http://link.springer.com/journal/12035,55,12,December,2018,https://link.springer.com/journal/12035/55/12,Original Paper,Tauroursodeoxycholic Acid Improves Motor Symptoms in a Mouse Model of Parkinson’s Disease,https://link.springer.com/article/10.1007/s12035-018-1062-4
785,Biomedicine,Immunology,Journal of Clinical Immunology,http://link.springer.com/journal/10875,37,6,August,2017,https://link.springer.com/journal/10875/37/6,Original Article,Delayed Puberty and Gonadal Failure in Patients with HAX1 Mutation,https://link.springer.com/article/10.1007/s10875-017-0412-8
77,Medicine & Public Health,Cardiology,Journal of Nuclear Cardiology,http://link.springer.com/journal/12350,26,2,April,2019,https://link.springer.com/journal/12350/26/2,Original Article,Improved diagnosis of the number of stenosed coronary artery vessels by segmentation with scatter and photo-peak window data for attenuation correction in myocardial perfusion SPECT,https://link.springer.com/article/10.1007/s12350-017-1058-x
23,Medicine & Public Health,Cardiology,CardioVascular and Interventional Radiology,http://link.springer.com/journal/270,42,7,July,2019,https://link.springer.com/journal/270/42/7,Clinical Investigation,Onyx Embolization for Occlusion of the Proximal Internal Iliac Artery During EVAR in Patients with Unsuitable Landing Zones in the Common Iliac Artery,https://link.springer.com/article/10.1007/s00270-019-02188-8
2592,Medicine & Public Health,Oncology,Comparative Clinical Pathology,http://link.springer.com/journal/580,28,4,August,2019,https://link.springer.com/journal/580/28/4,Original Article,"Altered blood procalcitonin, C-reactive protein, and leucocytes count in association with canine parvovirus (CPV) enteritis",https://link.springer.com/article/10.1007/s00580-019-02941-y
1912,Biomedicine,Neurology,Neurotherapeutics,http://link.springer.com/journal/13311,15,1,January,2018,https://link.springer.com/journal/13311/15/1,Original Article,"Chronic Fluoxetine Induces Activity Changes in Recovery From Poststroke Anxiety, Depression, and Cognitive Impairment",https://link.springer.com/article/10.1007/s13311-017-0590-3
